corpus,chunk_id,region,value,position_in_text,occurrences_in_corpus,context
classical_lexicon,asas_albalagha_c0000,classical,الكميتُ,3570,1,ا ويقال: لعمر أ بيك ولعمر أبي سواك. قال الكميتُ: إني لعمر أبي سوا - ك من الصن
classical_lexicon,asas_albalagha_c0001,classical,اليزيدي,2374,1,ماتت له ثلاث أزواج وامرأة مثفاة. وأنشد اليزيدي: نكحت مثفاة شهيراً جمالها وأع
classical_lexicon,asas_albalagha_c0003,classical,حميد الأرقط,206,2,أرض أريضه. وهو أريض للخير: خليق له. قال حميد الأرقط: منا حماة المأزق العضوض كل أر
classical_lexicon,asas_albalagha_c0004,classical,مزاحم العقيلي,1127,2,وأسلت السلاح: حددته وجعلته كالأسل. قال مزاحم العقيلي: يباري سديساها إذا ما تلمجت ش
classical_lexicon,asas_albalagha_c0004,classical,نصيب الأصغر,2377,1,ه ووصف النبات به إذا مضى في غلوائه. قال نصيب الأصغر: إن العروق إذا استسربها الثرى
classical_lexicon,asas_albalagha_c0005,classical,الكاشحون الأفائكا,1969,1,دة: رجال يقولون الأفائك بيننا كذاك يقول الكاشحون الأفائكا ومن المجاز: أرض مأفوكة: مجدود
classical_lexicon,asas_albalagha_c0005,classical,النعمان,3522,1,فكن خير آكل وإلا فأدركني ولما أمزق قال النعمان: لا آكلك ولا أؤكلك غيري. وفلا
classical_lexicon,asas_albalagha_c0006,classical,مالك الخناعي,114,1,ألبوا عليه إذا استنجدوا عليه غيرهم. قال مالك الخناعي: طرحت بذي الخبتين صفني وقربتي
classical_lexicon,asas_albalagha_c0006,classical,التوزي,3889,1,وقوم البناء على الإمام وهو الزبق. وأنشد التوزي: وخلقته حتى إذا تم واستوى كمخ
classical_lexicon,asas_albalagha_c0007,classical,طريح الثقفي,2933,1,هم أنف القصاع وجارية أنف: لم تطمث. وقال طريح الثقفي: أيام سلمى غريرة أنف كأنها خو
classical_lexicon,asas_albalagha_c0012,classical,النابغة الجعدي,3784,1,وفيه بذاذة. وبذ فلان أصحابه: غلبهم قال النابغة الجعدي: يبذ الجياد بتقريبه ويأوي إلى
classical_lexicon,asas_albalagha_c0014,classical,الراهب المكي,352,1,برادة. وهم يتبردون بالماء ويبتردون. قال الراهب المكي: إذا وجدت أوار الحب في كبدي ع
classical_lexicon,asas_albalagha_c0014,classical,القلاخ,2175,1,لسباع وبرذن الجواد إذا صير برذوناً. قال القلاخ ولقيت فلاناً مجيداً وأخاه مبر
classical_lexicon,asas_albalagha_c0016,classical,العديل,1717,1,لله عليه: فضلني ونحن في بساط واسعة. قال العديل ن الفرخ: ودون يد الحجاج من أن
classical_lexicon,asas_albalagha_c0017,classical,المبرد,1777,2,ابن دريد: هو الناصع اللون في سمن. وقال المبرد هو الرقيق البشرة الذي يؤثر في
classical_lexicon,asas_albalagha_c0019,classical,جندل الطهوي,1712,1,البئر: حفرها. ومبعق المفازة متسعها. قال جندل الطهوي: للريح في مبعقها المجهول مساح
classical_lexicon,asas_albalagha_c0022,classical,يصف الماء,2437,1,بوس. ومن المجاز: بلوت الشيء: شممته. قال يصف الماء الآجن القديم: بأصفر ورد آل حت
classical_lexicon,asas_albalagha_c0027,classical,المقدام التميمي,1895,1,الوغم في القلب. وبينهم تبول وذحول. قال المقدام التميمي: أبى الله أن الغدر منكم وأنكم
classical_lexicon,asas_albalagha_c0028,classical,هذيل الأشجعي,503,1,ره. والحرب فيها التراتر أي الشدائد. قال هذيل الأشجعي: وحتى تقولوا بعد ما يشمت العد
classical_lexicon,asas_albalagha_c0030,classical,الشمردل اليربوعي,1184,1,الصقر المنسوب إلى توج من قرى فارس. قال الشمردل اليربوعي: أحم من توج محض حسبه ممكن على
classical_lexicon,asas_albalagha_c0030,classical,الخيبريّ,4020,1,في الأمور. وجمل تيهان وناقة تيهانة. قال الخيبريّ: تقدمها تيهانة جسور كتاب الثا
classical_lexicon,asas_albalagha_c0032,classical,حميد الأرقط,83,2,تفرقة. وعنده أثبية من الخيل وأثابي. قال حميد الأرقط: قد أغتدي والصبح محمر الطرر ب
